original_path,export_name,category,note,status
img\pictures\システム\チュートリアル17.png,Tutorial_チュートリアル17.png,Tutorial,Hình hướng dẫn trang 17,pending
img\pictures\システム\チュートリアル18.png,Tutorial_チュートリアル18.png,Tutorial,Hình hướng dẫn trang 18,pending
img\pictures\システム\チュートリアル19.png,Tutorial_チュートリアル19.png,Tutorial,Hình hướng dẫn trang 19,pending
img\pictures\システム\チュートリアル20.png,Tutorial_チュートリアル20.png,Tutorial,Hình hướng dẫn trang 20,pending
img\pictures\システム\チュートリアル21.png,Tutorial_チュートリアル21.png,Tutorial,Hình hướng dẫn trang 21,pending
img\pictures\システム\チュートリアル22.png,Tutorial_チュートリアル22.png,Tutorial,Hình hướng dẫn trang 22,pending
img\pictures\システム\チュートリアル23.png,Tutorial_チュートリアル23.png,Tutorial,Hình hướng dẫn trang 23,pending
img\pictures\システム\チュートリアル24.png,Tutorial_チュートリアル24.png,Tutorial,Hình hướng dẫn trang 24,pending
img\pictures\システム\チュートリアル25.png,Tutorial_チュートリアル25.png,Tutorial,Hình hướng dẫn trang 25,pending
img\pictures\システム\チュートリアル26.png,Tutorial_チュートリアル26.png,Tutorial,Hình hướng dẫn trang 26,pending
img\pictures\システム\チュートリアル27.png,Tutorial_チュートリアル27.png,Tutorial,Hình hướng dẫn trang 27,pending
img\pictures\システム\チュートリアル28.png,Tutorial_チュートリアル28.png,Tutorial,Hình hướng dẫn trang 28,pending
img\pictures\システム\チュートリアル29.png,Tutorial_チュートリアル29.png,Tutorial,Hình hướng dẫn trang 29,pending
img\pictures\システム\チュートリアル30.png,Tutorial_チュートリアル30.png,Tutorial,Hình hướng dẫn trang 30,pending
img\pictures\システム\チュートリアル31.png,Tutorial_チュートリアル31.png,Tutorial,Hình hướng dẫn trang 31,pending
img\pictures\システム\チュートリアル23_2.png,Tutorial_チュートリアル23_2.png,Tutorial,Hình hướng dẫn trang 23 (biến thể 2),pending
img\pictures\システム\チュートリアル24_2.png,Tutorial_チュートリアル24_2.png,Tutorial,Hình hướng dẫn trang 24 (biến thể 2),pending
img\pictures\システム\ホイール操作可.png,HUD_ホイール操作可.png,HUD,Chỉ dẫn thao tác cuộn chuột (cả 2 chiều),pending
img\pictures\システム\ホイール操作可_上のみ.png,HUD_ホイール操作可_上のみ.png,HUD,Chỉ dẫn thao tác cuộn chuột (chỉ lên),pending
img\pictures\システム\射精ゲージ1.png,HUD_射精ゲージ1.png,HUD,Thanh gauge — loại 1,pending
img\pictures\システム\射精ゲージ2.png,HUD_射精ゲージ2.png,HUD,Thanh gauge — loại 2,pending
img\pictures\システム\射精ゲージ_スリップダメージ.png,HUD_射精ゲージ_スリップダメージ.png,HUD,Thanh gauge — slip damage,pending
img\pictures\システム\照れゲージ1.png,HUD_照れゲージ1.png,HUD,Thanh gauge xấu hổ — loại 1,pending
img\pictures\システム\照れゲージ2.png,HUD_照れゲージ2.png,HUD,Thanh gauge xấu hổ — loại 2,pending
img\pictures\システム\スリップダメージ表記.png,HUD_スリップダメージ表記.png,HUD,Hiển thị slip damage,pending
