plugin_file,line_num,original_jp,vietnamese
plugins.js,13,文字の縁取り色を自動で判定して切替します。,Tự động điều chỉnh màu viền chữ
plugins.js,14,コードとパラメータを指定してイベントコマンドを実行します。,Thực thi lệnh sự kiện theo mã tham số
plugins.js,15,Spineモデルの色調変化にフェード効果を適用できるようにする。,Áp dụng hiệu ứng Fade cho màu sắc mô hình Spine
plugins.js,16,ログメッセージプラグイン（縁取り対応版）,Plugin hiển thị tin nhắn Log (Hỗ trợ viền chữ)
plugins.js,17,変数の小数演算プラグイン,Plugin tính toán số thập phân cho biến số
plugins.js,18,重複の無いランダム値リストを作成できます,Tạo danh sách giá trị ngẫu nhiên không trùng lặp
plugins.js,19,簡易ボイスプラグイン,Plugin lồng tiếng đơn giản
plugins.js,19,ボイス 音量,Âm lượng giọng nói
plugins.js,21,SimpleVoice用 メッセージ送り・マップ移動時ボイス停止プラグイン v1.5.0,Plugin dừng voice SimpleVoice khi chuyển câu/chuyển map v1.5.0
plugins.js,22,メッセージスキッププラグイン,Plugin bỏ qua (Skip) tin nhắn
plugins.js,22,スキップキー,Phím Bỏ qua (Skip)
plugins.js,22,オートキー,Phím Tự động (Auto)
plugins.js,22,スキップスイッチ,Công tắc Bỏ qua
plugins.js,22,オートスイッチ,Công tắc Tự động
plugins.js,22,スキップアイコン,Biểu tượng Bỏ qua
plugins.js,22,オートアイコン,Biểu tượng Tự động
plugins.js,22,アイコンX,Tọa độ X biểu tượng
plugins.js,22,アイコンY,Tọa độ Y biểu tượng
plugins.js,22,押し続けスキップ,Nhấn giữ để Bỏ qua
plugins.js,22,ピクチャは押し続け対象外,Không áp dụng nhấn giữ cho hình ảnh
plugins.js,22,オート待機フレーム,Số frame chờ Tự động
plugins.js,22,終了解除スイッチID,ID công tắc hủy khi hoàn thành
plugins.js,22,スキップピクチャ,Hình ảnh Bỏ qua
plugins.js,22,スキップピクチャX,Tọa độ X hình ảnh Bỏ qua
plugins.js,22,スキップピクチャY,Tọa độ Y hình ảnh Bỏ qua
plugins.js,22,オートピクチャ,Hình ảnh Tự động
plugins.js,22,オートピクチャX,Tọa độ X hình ảnh Tự động
plugins.js,22,オートピクチャY,Tọa độ Y hình ảnh Tự động
plugins.js,22,スイッチピクチャ,Hình ảnh Công tắc
plugins.js,22,スイッチピクチャトリガー,Kích hoạt hình ảnh Công tắc
plugins.js,22,スイッチピクチャX,Tọa độ X hình ảnh Công tắc
plugins.js,22,スイッチピクチャY,Tọa độ Y hình ảnh Công tắc
plugins.js,22,ボタン原点,Gốc tọa độ nút
plugins.js,22,ボタン表示スイッチID,ID công tắc hiển thị nút
plugins.js,22,ピクチャ座標タイプ,Loại tọa độ hình ảnh
plugins.js,22,無効化スイッチ,Công tắc Vô hiệu hóa
plugins.js,23,MessageSkip/SimpleVoice用 ボイス終了後オート送り待機プラグイン v1.0.0,Plugin chờ tự động chuyển sau voice cho MessageSkip/SimpleVoice v1.0.0
plugins.js,24,イベントテキストのログを保持・表示する,Lưu giữ và hiển thị Nhật ký (Log) thoại sự kiện
plugins.js,24,選択肢:{choice},Lựa chọn: {choice}
plugins.js,24,キャンセル,Hủy bỏ
plugins.js,25,テキストファイル(.txtファイルなど)から「文章の表示」イベントコマンドに簡単に変換するための、開発支援プラグインです。ツクールMV・MZの両方に対応しています。,Plugin hỗ trợ phát triển chuyển đổi tệp văn bản (.txt) sang lệnh hiển thị hội thoại RPG Maker MV/MZ.
plugins.js,25,下,Dưới
plugins.js,25,ウインドウ,Cửa sổ
plugins.js,26,ノベルゲーム風選択肢ウィンドウプラグイン,Plugin cửa sổ lựa chọn phong cách Novel Game
plugins.js,27,選択肢の機能を拡張します。,Mở rộng tính năng cho cửa sổ lựa chọn.
plugins.js,27,"[""ChoiceHelp"",""<ChoiceHelp>"",""選択肢ヘルプ"",""<選択肢ヘルプ>""]","[""ChoiceHelp"",""<ChoiceHelp>"",""Trợ giúp lựa chọn"",""<Trợ giúp lựa chọn>""]"
plugins.js,28,メッセージウィンドウの維持プラグイン,Plugin duy trì cửa sổ tin nhắn
plugins.js,29,メッセージウィンドウ一時消去プラグイン,Plugin ẩn tạm thời cửa sổ tin nhắn
plugins.js,29,"[""右クリック""]","[""Nhấp chuột phải""]"
plugins.js,30,オプション任意項目作成プラグイン,Plugin tạo mục cài đặt tùy chỉnh trong Tùy chọn
plugins.js,30,"[""{\\""Name\\"":\\""被ダメージカット\\"",\\""DefaultValue\\"":\\""0\\"",\\""VariableID\\"":\\""15\\"",\\""HiddenFlag\\"":\\""false\\"",\\""Script\\"":\\""\\"",\\""NumberMin\\"":\\""0\\"",\\""NumberMax\\"":\\""100\\"",\\""NumberStep\\"":\\""25\\"",\\""Unit\\"":\\""%\\"",\\""AddPosition\\"":\\""\\"",\\""PaddingTop\\"":\\""0\\""}"",""{\\""Name\\"":\\""与ダメージアップ\\"",\\""DefaultValue\\"":\\""0\\"",\\""VariableID\\"":\\""16\\"",\\""HiddenFlag\\"":\\""false\\"",\\""Script\\"":\\""\\"",\\""NumberMin\\"":\\""0\\"",\\""NumberMax\\"":\\""100\\"",\\""NumberStep\\"":\\""25\\"",\\""Unit\\"":\\""%\\"",\\""AddPosition\\"":\\""\\"",\\""PaddingTop\\"":\\""0\\""}""]","[""{\""Name\"":\""Giảm sát thương nhận\"",\""DefaultValue\"":\""0\"",\""VariableID\"":\""15\"",\""HiddenFlag\"":\""false\"",\""Script\"":\""\"",\""NumberMin\"":\""0\"",\""NumberMax\"":\""100\"",\""NumberStep\"":\""25\"",\""Unit\"":\""%\"",\""AddPosition\"":\""\"",\""PaddingTop\"":\""0\""}"",""{\""Name\"":\""Tăng sát thương gây ra\"",\""DefaultValue\"":\""0\"",\""VariableID\"":\""16\"",\""HiddenFlag\"":\""false\"",\""Script\"":\""\"",\""NumberMin\"":\""0\"",\""NumberMax\"":\""100\"",\""NumberStep\"":\""25\"",\""Unit\"":\""%\"",\""AddPosition\"":\""\"",\""PaddingTop\"":\""0\""}""]"
plugins.js,30,"[""{\\""Name\\"":\\""取得経験値2倍\\"",\\""DefaultValue\\"":\\""false\\"",\\""SwitchID\\"":\\""36\\"",\\""OnText\\"":\\""\\"",\\""OffText\\"":\\""\\"",\\""HiddenFlag\\"":\\""false\\"",\\""Script\\"":\\""\\"",\\""AddPosition\\"":\\""\\"",\\""PaddingTop\\"":\\""0\\""}"",""{\\""Name\\"":\\""取得金額2倍\\"",\\""DefaultValue\\"":\\""false\\"",\\""SwitchID\\"":\\""37\\"",\\""OnText\\"":\\""\\"",\\""OffText\\"":\\""\\"",\\""HiddenFlag\\"":\\""false\\"",\\""Script\\"":\\""\\"",\\""AddPosition\\"":\\""\\"",\\""PaddingTop\\"":\\""0\\""}""]","[""{\""Name\"":\""Gấp đôi EXP nhận được\"",\""DefaultValue\"":\""false\"",\""SwitchID\"":\""36\"",\""OnText\"":\""\"",\""OffText\"":\""\"",\""HiddenFlag\"":\""false\"",\""Script\"":\""\"",\""AddPosition\"":\""\"",\""PaddingTop\"":\""0\""}"",""{\""Name\"":\""Gấp đôi Tiền nhận được\"",\""DefaultValue\"":\""false\"",\""SwitchID\"":\""37\"",\""OnText\"":\""\"",\""OffText\"":\""\"",\""HiddenFlag\"":\""false\"",\""Script\"":\""\"",\""AddPosition\"":\""\"",\""PaddingTop\"":\""0\""}""]"
plugins.js,31,オプションデフォルト値設定プラグイン,Plugin cài đặt giá trị mặc định cho Option
plugins.js,32,v1.001 オプション画面の表示をカスタマイズ,v1.001 Tùy chỉnh giao diện menu Cài đặt Options
plugins.js,32,"[""{\\""SeparateText\\"":\\""\\\\\\\\I[253]\\\\\\\\c[1]オプション\\"",\\""Position\\"":\\""0\\""}"",""{\\""SeparateText\\"":\\""\\\\\\\\I[254]\\\\\\\\c[2]チートオプション\\"",\\""Position\\"":\\""5\\""}""]","[""{\""SeparateText\"":\""\\\\I[253]\\\\c[1]TÙY CHỌN HEADING\"",\""Position\"":\""0\""}"",""{\""SeparateText\"":\""\\\\I[254]\\\\c[2]CÀI ĐẶT CHEAT\"",\""Position\"":\""5\""}""]"
plugins.js,33,フォントロードプラグイン,Plugin nạp Phông chữ (Font)
plugins.js,34,(v1.3) タイトルメニューのコマンドを画像で表示します,(v1.3) Hiển thị lệnh menu Tiêu đề bằng Hình ảnh
plugins.js,35,MOG_TitleCommandsのタイトルコマンド当たり判定から透過部分を除外します v1.0.0,Loại bỏ vùng trong suốt khỏi khu vực nhấp chuột menu Tiêu đề MOG_TitleCommands
DarkPlasma_TextLog.js,201,選択肢:{choice},Lựa chọn: {choice}
DarkPlasma_TextLog.js,203,キャンセル,Hủy bỏ
LL_GalgeChoiceWindow.js,234,: 有効な選択肢が存在しなかったため、コマンドがスキップされました,: Không có lựa chọn hợp lệ nên lệnh đã bị bỏ qua
LogMessage.js,297,すでにinitされてあります,Đã khởi tạo init sẵn rồi
MakeScreenCapture.js,477,ローカル実行以外ではキャプチャを保存できません。,Không thể chụp màn hình ngoài môi trường chạy cục bộ.
MasterVolumeOption.js,112,項目名称,Tên mục
MasterVolumeOption.js,113,初期値,Giá trị ban đầu
MasterVolumeOption.js,114,音量の増減量,Mức tăng giảm âm lượng
MessageSkip.js,527,スキップキー,Phím Bỏ qua
MessageSkip.js,529,オートキー,Phím Tự động
MessageSkip.js,545,スキップピクチャ,Hình ảnh Bỏ qua
MessageSkip.js,546,スキップピクチャX,Tọa độ X hình ảnh Bỏ qua
MessageSkip.js,547,スキップピクチャY,Tọa độ Y hình ảnh Bỏ qua
MessageSkip.js,548,オートピクチャ,Hình ảnh Tự động
MessageSkip.js,549,オートピクチャX,Tọa độ X hình ảnh Tự động
MessageSkip.js,550,オートピクチャY,Tọa độ Y hình ảnh Tự động
MessageSkip.js,551,スイッチピクチャ,Hình ảnh Công tắc
MessageSkip.js,552,スイッチピクチャX,Tọa độ X hình ảnh Công tắc
MessageSkip.js,553,スイッチピクチャY,Tọa độ Y hình ảnh Công tắc
MessageSkip.js,554,スイッチピクチャトリガー,Kích hoạt hình ảnh Công tắc
MessageSkip.js,555,ボタン原点,Gốc tọa độ nút
MessageSkip.js,556,ボタン表示スイッチID,ID công tắc hiển thị nút
MessageSkip.js,557,押し続けスキップ,Nhấn giữ để Bỏ qua
MessageSkip.js,558,ピクチャは押し続け対象外,Không áp dụng nhấn giữ cho hình ảnh
MessageSkip.js,559,スキップスイッチ,Công tắc Bỏ qua
MessageSkip.js,560,オートスイッチ,Công tắc Tự động
MessageSkip.js,561,無効化スイッチ,Công tắc Vô hiệu hóa
MessageSkip.js,562,アイコンX,Tọa độ X biểu tượng
MessageSkip.js,563,アイコンY,Tọa độ Y biểu tượng
MessageSkip.js,564,ピクチャ座標タイプ,Loại tọa độ hình ảnh
MessageSkip.js,575,終了解除スイッチID,ID công tắc hủy khi hoàn thành
MessageSkip.js,743,オート待機フレーム,Số frame chờ Tự động
MessageSkip.js,787,スキップアイコン,Biểu tượng Bỏ qua
MessageSkip.js,792,オートアイコン,Biểu tượng Tự động
