original_jp,vietnamese
乳首を爪でかりかりと刺激された！,Bị móng tay cào kích thích đầu ngực!
小さな身体では上手く力が入らない！,Thân hình nhỏ bé không thể dùng lực được!
能力を上昇させられなかった！,Không thể tăng chỉ số được!
\N[1]はなすがままだ！,\N[1] đang bị mặc cho tùy ý xử lý!
\N[1]は防御の構えを取った！,\N[1] đã vào thế phòng thủ!
くすくす……♡」,khì khì……♡」
もう射精してしまう……！,Sắp xuất tinh mất rồi……!
セラ「別に、いつも通りですけどね」,"Sera「Có gì đâu, vẫn như mọi khi thôi」"
セラに唇を奪われた！,Bị Sera cướp mất đôi môi!
セラは腰を打ち付けてきた！,Sera đã nhấp eo!
欲しいんですか？」,Muốn lắm sao?」
※解除不可,※Không thể giải trừ
セラ「あの、裸なのですが……」,"Sera「Ơ kìa, em đang khỏa thân đấy……」"
セラ「いいでしょう。,Sera「Được thôi nào.
セラ「とろけた顔をしてどうしました？,Sera「Vẻ mặt chảy xệ đó là sao vậy?
セラがわざとらしくパンツを見せてきた！,Sera cố tình khoe quần lót!
セラにおっぱいを揉まされた！,Bị Sera bóp ngực!
セラに太ももを揉まされた！,Bị Sera bóp đùi!
セラに賭け金を預けた！（-3000）,Đã đặt tiền cược cho Sera! (-3000)
セラの手がイかせる動きになった！,Tay Sera chuyển sang nhịp khiến cưng lên đỉnh!
セラの舌がちんこを這い回る！,Lưỡi Sera đang liếm vòng quanh con cu!
セラは\N[1]に授乳してあげた！,Sera đã cho \N[1] bú sữa!
セラはローションを追加した！,Sera đã thêm chất bôi trơn!
セラは愛おしそうに裏筋へキスした！,Sera trìu mến hôn lên gân dưới con cu!
セラは谷間をちらりと見せてきた！,Sera đã khoe thoáng khe ngực!
セラは谷間を寄せて圧を強めた！,Sera đã áp sát khe ngực gia tăng áp lực!
太ももでちんこをしごかれた！,Bị cọ sát con cu bằng đùi!
射精ゲージが\v[61]回復した！,Thanh xuất tinh hồi phục \v[61]!
断られてしまった！,Đã bị từ chối mất rồi!
耳元でこしょこしょと囁かれた！,Bị thì thầm sát bên tai!
\N[1]の攻撃力を下げようとした！,Đã cố giảm sức tấn công của \N[1]!
\N[1]はあきらめて脱力した！,"\N[1] đã từ bỏ, buông xuôi!"
\N[1]はオナニーを始めてしまった！,\N[1] đã bắt đầu thủ dâm mất rồi!
\N[1]は息を整えた！,\N[1] đã điều hòa nhịp thở!
セラ「……」,Sera「……」
セラ「今回の治療ではおあずけです。,Sera「Đợt trị liệu này là tạm gác lại đấy.
セラ「治療に適した下着を,Sera「Hãy chọn bộ nội y phù hợp với trị liệu
セラが丹念に金玉を揉みほぐしてきた！,Sera đã tỉ mỉ xoa bóp túi tinh!
セラが顔を踏みつけてきた！,Sera đã giẫm lên mặt!
セラにピストンフェラされた！,Bị Sera bú cu nhấp!
セラに顔面騎乗された！,Bị Sera đè mặt!
セラの舌が裏筋を這い回る！,Lưỡi Sera đang liếm vòng quanh gân dưới!
セラはオナホでちんこをしごいた！,Sera đã dùng onahole kích thích con cu!
セラは愛おしそうに金玉へキスした！,Sera trìu mến hôn lên túi tinh!
セラは耳に吐息を吹きかけてきた！,Sera đã thở nhẹ vào tai!
セラは耳を舐めてきた！,Sera đã liếm tai!
乳首を丹念に舐めしゃぶられた！,Bị tỉ mỉ liếm mút đầu ngực!
嗤われてしまった！,Bị cười nhạo mất rồi!
恥ずかしくないんですか？」,Không thấy xấu hổ sao?」
我慢してください」,Hãy nhịn xuống nhé」
指の輪っかでカリを重点的にしごかれた！,Bị vòng tay kích thích trọng tâm vào quy đầu!
糸を引くおまんこを見せつけられた！,Bị phô bày cô bé ướt đẫm rỉ dịch!
誘惑に負けて腰を振ってしまった！,"Thua cuộc trước lời mời gọi, đã nhún nhảy eo mất rồi!"
選んでいますので」,Nên em đang chọn đấy」
金玉を爪でかりかりとくすぐられた！,Bị móng tay cào nhột túi tinh!
顔を谷間に閉じ込められた！,Bị nhốt mặt vào khe ngực!
\N[1]の回復力が強化された！,Khả năng hồi phục của \N[1] đã được tăng cường!
\N[1]はセラに挿入してしまった！,\N[1] đã đâm vào trong Sera mất rồi!
\N[1]はセラを振り払おうとした！,\N[1] đã cố gạt tay Sera ra!
\N[1]は激しく腰を振ってしまった！,\N[1] đã điên cuồng nhún eo!
\N[1]は顔を踏まれながら,\N[1] vừa bị giẫm mặt vừa
あやされちゃおっか」,có được dỗ dành không nhỉ?」
ありがとうございますー」,Cảm ơn nhiều nhéー」
えっちな子」,đồ hư đốn」
おさわりは禁止ですよー」,Cấm động vào người em nhéー」
おちんちん好き……っ♡』」,Thích con cu của cưng lắm……♡』」
おっぱいですよ」,Là ngực đấy」
おめでとうございます」,Chúc mừng nhé」
お兄さん？」,Anh trai?」
お利巧さん」,Đứa trẻ ngoan ngoãn」
お利巧さんでちゅね」,Ngoan ngoãn ghê nà」
ございますか？」,Có vậy không ạ?」
さっさとイけよ」,Mau lên đỉnh đi」
しかしコミカルトークの効果で,"Nhưng nhờ hiệu ứng của Lời Tán Gẫu Hài Hước,"
しかしリフレッシュの効果で無効化した！,Nhưng nhờ hiệu ứng Hồi Sức nên đã vô hiệu hóa!
していきますよ」,Em sẽ làm vậy đó」
それはそれで複雑です……」,Vậy cũng thấy phức tạp quá……」
そんなに嬉しいんですか？」,Vui vậy sao?」
そんな口説き文句」,Những lời tán tỉnh như vậy」
だめだよ？」,Không được đâu nhé?」
だめでしょ？」,Không được phải không?」
ちこちこしたいぃ♡』」,Muốn được vuốt ve lắm♡』」
ちんこを舌で挟み撃ちされた！,Bị kẹp con cu bằng lưỡi!
では……しこしこしこ」,Vậy thì…… kích thích kích thích」
では……ぱふぱふ」,Vậy thì…… nhồi ngực nhồi ngực」
とってもいい子」,Đứa bé rất ngoan」
なっちゃいましたか？」,Đã trở thành vậy rồi à?」
はしたないお客様」,Vị khách vô lễ」
もう無理っ♡　イっちゃうっ♡』」,Hết chịu nổi rồi♡ Sắp lên đỉnh mất rồi♡』」
よちよち、いい子いい子」,"Vỗ về, ngoan nào ngoan nào」"
セラL「いつもより完璧です」,Sera L「Hoàn hảo hơn mọi khi đấy」
セラL「いや、私の方です」,"Sera L「Không, là phía em mới đúng」"
セラL「これで他の人はいりませんね」,Sera L「Vậy thì không cần ai khác nữa nhỉ」
セラL「じゃあ私も、よしよし」,"Sera L「Vậy em cũng, ngoan nào」"
セラL「ぜひ目に焼き付けてください」,Sera L「Hãy khắc sâu vào trong mắt đi」
セラL「では、弱いものいじめを,"Sera L「Vậy thì, cuộc bắt nạt kẻ yếu,"
セラL「もちろん私ですよね？」,Sera L「Tất nhiên là em đúng không?」
セラL「両側からその余裕を崩してあげます」,Sera L「Bọn em sẽ phá vỡ sự thong dong đó từ hai phía」
セラL「二人いるので二倍可愛いです」,Sera L「Có hai người nên dễ thương gấp đôi」
セラL「二人合わせて大大好きです」,"Sera L「Cộng lại hai người, thích cưng vô cùng」"
セラL「後悔させてあげましょう」,Sera L「Em sẽ khiến cưng phải hối hận」
セラL「精液も二人分作ってくださいね」,Sera L「Hãy tạo thật nhiều tinh dịch cho cả hai người nhé」
セラL「見ててあげますよ。,Sera L「Em sẽ đứng nhìn cho đấy.
セラL「責任、取ってくださいね？」,Sera L「Phải chịu trách nhiệm đấy nhé?」
セラR「ありがとうございます」,Sera R「Cảm ơn nhé」
セラR「どっちの方が綺麗ですか？」,Sera R「Ai xinh hơn nào?」
セラR「れろれろれろ……♡」,Sera R「liếm liếm liếm……♡」
セラR「オナニー、見て,Sera R「Nhìn em thủ dâm
セラR「ハーレムがお気に召しましたか」,Sera R「Hậu cung này hợp ý cưng chứ?」
セラR「二人まとめて愛せますか？」,Sera R「Có yêu được cả hai người cùng lúc không?」
セラR「今は自分の背中まで見えるので」,Sera R「Giờ nhìn được tận lưng của chính mình nên」
セラR「今私に言いましたか？」,Sera R「Vừa nói với em à?」
セラR「同時に二つの角度から見れますよ」,Sera R「Có thể nhìn từ hai góc cùng lúc đấy」
セラR「戦意を喪失しましたか」,Sera R「Đã mất ý chí chiến đấu rồi sao」
セラR「私たちに隙を見せるとは,"Sera R「Lộ sơ hở cho bọn em thế này,"
セラR「私だって大好きです」,Sera R「Em cũng thích cưng lắm」
セラR「美人に囲まれて嬉しいですか？」,"Sera R「Được bao quanh bởi người đẹp, vui chứ?」"
セラR「随分と余裕ですね」,Sera R「Thong dong ghê nhỉ」
セラR「頑張りましたね。よしよし」,Sera R「Cố gắng lắm. Ngoan nào」
セラ「3、2、1……」,"Sera「3, 2, 1……」"
セラ「『あっ♡　あっ♡　だめっ♡,Sera「『A♡ A♡ Không được♡
セラ「『こんなのもう無理っ♡,Sera「『Thế này thì hết chịu nổi rồi♡
セラ「『じゃあ、あなたが,"Sera「『Vậy thì, cưng hãy"
セラ「『そんなこと言われたら、,"Sera「『Bị cưng nói vậy thì,"
セラ「『みっともなく感じてる顔、,"Sera「『Cái vẻ mặt thấy mình thật nhục nhã,"
セラ「『イっ……くぅぅ……っ♡』」,Sera「『Sướ……ng quá……♡』」
セラ「『口説くのやめてぇ……っ、,Sera「『Đừng có tán tỉnh em nữa mà……
セラ「『早く意地悪してして～♡』」,Sera「『Mau bắt nạt em đi mà～♡』」
セラ「『私のおまんこで,"Sera「『Với cô bé của em,"
セラ「『私の下着姿でもっと,"Sera「『Với hình ảnh nội y của em, hãy càng"
セラ「『私も、分からされるの,"Sera「『Em cũng sẽ bị dạy dỗ,"
セラ「『私も好きっ、,"Sera「『Em cũng thích cưng,"
セラ「『降伏するから,"Sera「『Em đầu hàng nên,"
セラ「あっそ」,Sera「À vậy à」
セラ「あとは全部お姉ちゃんに任せてね」,Sera「Còn lại cứ để chị lo hết nhé」
セラ「あなたのたくましい胸板に,"Sera「Với tấm ngực rắn rỏi của cưng,"
セラ「あなたのために,"Sera「Vì cưng,"
セラ「あなたの惨めな表情には,"Sera「Với cái vẻ mặt khổ sở của cưng,"
セラ「あやして欲しいのかな？,Sera「Muốn được dỗ dành lắm sao?
セラ「いじめて欲しいんだ？　変態だね」,Sera「Muốn bị bắt nạt à? Đồ biến thái」
セラ「う、うん……ありがとう」,"Sera「Ư, ừm…… cảm ơn」"
セラ「うぅぅ～～～っ……！,Sera「U u u~~~……!
セラ「うざ」,Sera「Phiền phức」
セラ「うわっ、目の前でオナニーするとか,"Sera「Ơ kìa, trước mặt em mà thủ dâm thì,"
セラ「えー、とっても嬉しー」,"Sera「Êー, vui ghê luônー」"
セラ「おちんちん硬くして,Sera「Làm con cu cứng lên rồi
セラ「お姉さんも好きだよ」,Sera「Chị cũng thích lắm đấy」
セラ「お姉さんをからかっちゃ,"Sera「Trêu chọc chị thì,"
セラ「お漏らし我慢できて,Sera「Nhịn được việc rỉ nước
セラ「くす……いい子ですね」,Sera「Khì…… ngoan quá nhỉ」
セラ「こ、これは照れている,"Sera「Đ, đây là đang thẹn thùng"
セラ「ここからは密着して治療を行います」,Sera「Từ giờ em sẽ tiến hành trị liệu bằng cách dán sát người vào」
セラ「こちらへのご興味は,"Sera「Sự hứng thú của cưng dành cho em,"
セラ「このままママに,Sera「Cứ vậy mà với mẹ
セラ「このまま気持ちよく,Sera「Cứ thế mà sướng
セラ「この衣装、お店のなんですよー」,Sera「Bộ đồ này là của quán đấy nhéー」
セラ「こら、そんなこと言っちゃ,"Sera「Này này, nói mấy lời đó thì,"
セラ「こんなので興奮するとか,"Sera「Thứ như thế này mà cũng kích thích à,"
セラ「しこしこしこ……」,"Sera「Kích thích, kích thích……」"
セラ「じゃあ次も指名してくださいね？」,Sera「Vậy lần sau cũng chỉ định em nhé?」
セラ「そうそう、お客様は,"Sera「Đúng đúng, vị khách này,"
セラ「そう？　ありがとう」,Sera「Vậy à? Cảm ơn」
セラ「それはこっちのセリフだよ？」,Sera「Đó mới là lời của em chứ?」
セラ「そろそろ責められる側に,"Sera「Đã đến lúc trở thành kẻ bị công kích,"
セラ「そんないじめて欲しそうな,"Sera「Cái vẻ mặt muốn bị bắt nạt đến thế,"
セラ「そんなに甘えてどうちたの？」,Sera「Nũng nịu như vậy là sao vậy?」
セラ「そんなの当たり前」,Sera「Đương nhiên là vậy rồi」
セラ「だから何？」,Sera「Thì sao?」
セラ「ついでに、可哀そうな敗者へ,"Sera「Tiện thể, gửi tới kẻ bại trận đáng thương,"
セラ「で？　おだてても,"Sera「Sao? Có nịnh bợ thế nào đi nữa,"
セラ「どこで覚えたの、,"Sera「Học được ở đâu vậy,"
セラ「はい、ぴくぴくと反応しましたね。,"Sera「Đấy, phản ứng co giật rồi kìa."
セラ「はい、知ってまーす」,Sera「Biết rồiー」
セラ「はい、私も好きですよー」,"Sera「Ừ, em cũng thích màー」"
セラ「はい、表情を崩しましたね。,"Sera「Đấy, mặt biến dạng rồi kìa."
セラ「は？　マジでキモい……」,Sera「Hả? Kinh tởm thật đấy……」
セラ「ぴんっておちんちん上向いて,Sera「con cu ngẩng thẳng lên
セラ「ふふ……おませさん」,Sera「Hehe…… đồ biết yêu sớm」
セラ「ふー……♡」,Sera「Phù……♡」
セラ「ふーん。少しは根性あるね」,Sera「Hừm. Có chút bản lĩnh đấy」
セラ「ほら、あなたの好きな,"Sera「Nào, thứ cưng thích đây,"
セラ「まぁ、少しは褒めてあげます」,"Sera「Thôi thì, khen cưng một chút vậy」"
セラ「まだです。この程度では,Sera「Chưa đâu. Với mức độ này thì
セラ「もう屈服ですか。,Sera「Đã khuất phục rồi sao.
セラ「もう諦めるんだ。,Sera「Hãy từ bỏ đi.
セラ「もっとぬるぬるてかてかに,"Sera「Hãy làm nhớp nháp bóng loáng hơn nữa,"
セラ「もっともっと、私と,"Sera「Càng nhiều, càng nhiều nữa, cùng em"
セラ「ようやく私のサービスを,"Sera「Cuối cùng cũng có thể hưởng dịch vụ của em,"
セラ「よく回る口ですね……」,Sera「Miệng lưỡi lanh lợi ghê nhỉ……」
セラ「わー、ありがとうございますー」,"Sera「Waaー, cảm ơn nhiều nhéー」"
セラ「オナニーしちゃうなんて,"Sera「Đến mức phải tự thủ dâm,"
セラ「ゼロ♡　射精しろ♡」,Sera「Zero♡ Xuất tinh đi♡」
セラ「マゾいじめしてもらえて,"Sera「Được bắt nạt khổ dâm,"
セラ「ママのお顔をじーっと見つめて,"Sera「Cứ nhìn chằm chằm vào mặt mẹ,"
セラ「ママのことちゅきちゅき～って,"Sera「Cứ bảo là thích mẹ lắm lắm～,"
セラ「ママのこと好きでちゅか？」,Sera「Có thích mẹ không nà?」
セラ「上手におしゃべりできて,"Sera「Nói chuyện trôi chảy thế này,"
セラ「下着にも気を遣うのは、あなた専属,"Sera「Chăm chút cả nội y, là vì chỉ dành riêng cho cưng,"
セラ「何言ってんの？　馬鹿なの？」,Sera「Nói gì vậy? Ngu à?」
セラ「例え私がえっちでもお客様からの,"Sera「Cho dù em có hư đốn thì lời khen từ khách hàng,"
セラ「僕くん、オナニー上手だね」,"Sera「Bé ngoan, thủ dâm giỏi ghê nhỉ」"
セラ「僕くんは紳士なんだね？」,Sera「Bé ngoan là quý ông lịch lãm nhỉ?」
セラ「僕ちゃん、おっぱい飲みまちゅか？」,"Sera「Bé cưng, muốn bú sữa không nà?」"
セラ「僕ちゃんは可愛いでちゅね」,Sera「Bé cưng dễ thương ghê nà」
セラ「口説こうとしたって,"Sera「Có cố tán tỉnh thế nào đi nữa,"
セラ「可愛いのは僕くんの方だよ？」,Sera「Dễ thương là bé ngoan mới đúng chứ?」
セラ「可愛く喘ぐあなたに,"Sera「Với anh đang rên rỉ thật đáng yêu,"
セラ「大人しくできて,"Sera「Ngoan ngoãn nghe lời như vậy,"
セラ「大人しくできていい子だね」,Sera「Ngoan ngoãn là đứa trẻ tốt đấy」
セラ「女王様にでもなって,"Sera「Định làm nữ hoàng gì đó,"
セラ「弱いところを集中攻撃します」,Sera「Em sẽ tập trung tấn công điểm yếu đấy」
セラ「当然でしょ？」,Sera「Đương nhiên rồi?」
セラ「意地悪されているのに？,"Sera「Đang bị bắt nạt mà còn,"
セラ「我慢できるなんて素敵ですね、,"Sera「Nhịn được như vậy thật tuyệt vời,"
セラ「本物の牛娘より私の方を,"Sera「Hơn cả cô người bò thật sự, em mới là,"
セラ「気持ちよく射精できるよう、,"Sera「Để anh có thể xuất tinh thật sướng,"
セラ「水着姿を褒められるのは、,"Sera「Được khen bộ đồ bơi, là vì,"
セラ「男性はみんなバニーが好きだと,"Sera「Đàn ông ai cũng thích thỏ đen,"
セラ「知ってるけど」,Sera「Em biết chứ」
セラ「私にはもったいないお言葉ですー」,Sera「Lời khen quá đáng với em rồiー」
セラ「私のこと、お気に入りに,"Sera「Biến em thành người được anh yêu thích,"
セラ「私もあなたが好きですよ。,Sera「Em cũng thích anh đấy.
セラ「耐えきりましたか。,Sera「Đã trụ vững được rồi sao.
セラ「腕が疲れました。少しだけ,"Sera「Tay em mỏi rồi. Chỉ một chút,"
セラ「自分でしちゃうなんて,"Sera「Tự mình làm thế này,"
セラ「虐めてもらうのが、の,"Sera「Cái cảm giác được bắt nạt,"
セラ「見ててやるから,"Sera「Em sẽ đứng nhìn cho,"
セラ「踊りがですか？,Sera「Điệu nhảy ư?
セラ「速ーいしこしこ、お好きですよね？」,"Sera「Kích thích nhanhーnhanh, anh thích lắm đúng không?」"
セラ「頑張ったね。僕くん格好いいよ」,Sera「Cố gắng lắm. Bé ngoan ngầu lắm đấy」
セラにお尻を揉まされた！,Bị Sera bóp mông!
セラの催眠でスキルが汚染された！,Kỹ năng đã bị nhiễm độc bởi thuật thôi miên của Sera!
セラの吐息が裏筋をくすぐる！,Hơi thở của Sera đang nhột gân dưới!
セラの指が優しく肌をくすぐってきた！,Ngón tay Sera nhẹ nhàng mơn trớn làn da!
セラの攻撃力を上げようとした！,Đã cố tăng sức tấn công của Sera!
セラの照れゲージが回復した！,Thanh thẹn thùng của Sera đã hồi phục!
セラの防御力を上げようとした！,Đã cố tăng phòng thủ của Sera!
セラはお尻を押し付けてきた！,Sera đã áp mông vào anh!
セラはがっちりとこちらを拘束している！,Sera đang trói giữ anh thật chặt!
セラはこちらの顔をじっと観察している,"Sera đang chăm chú quan sát gương mặt anh,"
セラは治療を続行した！,Sera đã tiếp tục trị liệu!
セラは谷間を寄せて強調してきた！,Sera đã áp sát khe ngực để nhấn mạnh!
ナースとして当然の務めですので」,Vì là bổn phận đương nhiên của một y tá mà」
中をとろとろにしておきますね」,Em sẽ làm bên trong tan chảy nhé」
亀頭だけを入念にしごかれた！,Bị tỉ mỉ kích thích riêng quy đầu!
二人でたっぷりと」,Cả hai người thật đã nhé」
交互パイズリで亀頭だけが刺激される！,Bị kẹp ngực xen kẽ chỉ kích thích quy đầu!
僕ちゃんはえっちな子でちゅね」,Bé cưng là đứa hư đốn nà」
勃起してください……♡』」,Hãy cương cứng lên đi……♡』」
及びません」,Em đâu dám」
受ける気になりましたか？」,Có muốn nhận lấy không?」
可愛いでちゅね」,Dễ thương ghê nà」
堪え性のないマゾだね」,Đồ khổ dâm không chịu được gì nhỉ」
変態ですね」,Đồ biến thái nhỉ」
大好きぃ……っ♡』」,Thích lắm……♡』」
好きになっちゃう……っ♡』」,Sẽ yêu anh mất……♡』」
好きになってくださいね？」,Hãy yêu em nhé?」
始めちゃいます」,Em bắt đầu luôn đây」
子宮うずいちゃうぅ……♡』」,Tử cung em nhức nhối rồi……♡』」
弱いちんちんですね」,Con cu yếu ớt nhỉ」
弱っちいので」,Vì yếu ớt nên」
悪い気分ではありませんね……」,Cũng không thấy tệ lắm nhỉ……」
意味ありませんよ」,Vô nghĩa thôi」
意地悪ぅ……！」,Đồ xấu bụng……！」
愛を確かめ合いましょう♡」,Hãy cùng xác nhận tình yêu nào♡」
戻りたくなりましたか？」,Muốn quay về rồi à?」
手加減しないけど？」,Em sẽ không nương tay đâu nhé?」
挿入させられた！,Bị ép đưa vào!
敗北射精してしまうんですか？」,Sẽ xuất tinh trong thất bại như vậy sao?」
本当にマゾだね」,Đúng là khổ dâm thật nhỉ」
格好いいでちゅね」,Ngầu ghê nà」
楽にしていれば良いんです」,Cứ thả lỏng là được rồi」
残念でした、賭け金は没収です」,"Đáng tiếc, tiền cược bị tịch thu nhé」"
気持ちよくしてぇ……♡』」,Làm cho em sướng đi mà……♡』」
汚してください……♡』」,Hãy làm em bẩn đi……♡』」
満足できません」,Em không thể thỏa mãn được」
演技ですから」,Vì là diễn kịch mà」
演技の練習をしましたから」,Vì em đã tập luyện diễn kịch rồi」
無効化した！,Đã vô hiệu hóa!
癒されて欲しいです……♡』」,Muốn được anh chữa lành……♡』」
耳元で喘ぎ声を囁かれた！,Bị thì thầm tiếng rên rỉ bên tai!
聞きましたので……」,Vì em đã nghe thấy rồi……」
自分をマッサージします」,Em sẽ tự massage vậy」
見ないでぇ……♡』」,Đừng nhìn mà……♡』」
言ってくれてるのかな？」,Có phải đang khen em không nhỉ?」
言われたくありません」,Em không muốn bị nói vậy đâu」
賭け金を没収された！,Tiền cược đã bị tịch thu!
重いおっぱいが乗っていますよ？」,Bầu ngực nặng đang đè lên đó nhé?」
間違いじゃないですか？」,Không phải vậy sao?」
随分余裕ですね」,Thong dong ghê nhỉ」
顔してどうしましたか？」,Làm vẻ mặt đó là sao vậy?」
（※拘束解除不可）,(※Không thể giải trừ trói buộc)
\N[1]「セラさん、可愛いです」,"\N[1]「Chị Sera, chị dễ thương lắm」"
\N[1]「セラさん、大好きです」,"\N[1]「Chị Sera, tôi rất thích chị」"
\N[1]「セラさん、好きです」,"\N[1]「Chị Sera, tôi thích chị」"
\N[1]「セラさん、愛しています」,"\N[1]「Chị Sera, tôi yêu chị」"
\N[1]「セラさん、綺麗です」,"\N[1]「Chị Sera, chị đẹp lắm」"
\N[1]「セラさんには癒されます」,\N[1]「Chị Sera đã chữa lành cho tôi」
\N[1]「セラさんはおしゃれですね」,\N[1]「Chị Sera sành điệu thật đấy」
\N[1]「セラさんはエロいです」,\N[1]「Chị Sera thật dâm đãng」
\N[1]「セラさんは美しい……」,\N[1]「Chị Sera thật xinh đẹp……」
\N[1]「セラさんは顔が良いです」,\N[1]「Chị Sera có khuôn mặt rất đẹp」
\N[1]の攻撃力が上がった！,Sức tấn công của \N[1] đã tăng!
\N[1]の攻撃力が下がった！,Sức tấn công của \N[1] đã giảm!
\N[1]の攻撃力を上げようとした！,Đã cố tăng sức tấn công của \N[1]!
\N[1]の能力上昇が一つ解除された！,Một hiệu ứng tăng chỉ số của \N[1] đã bị giải trừ!
\N[1]の能力上昇が全て解除された！,Toàn bộ hiệu ứng tăng chỉ số của \N[1] đã bị giải trừ!
\N[1]の能力低下が一つ解除された！,Một hiệu ứng giảm chỉ số của \N[1] đã bị giải trừ!
\N[1]の防御力が上がった！,Sức phòng thủ của \N[1] đã tăng!
\N[1]の防御力が下がった！,Sức phòng thủ của \N[1] đã giảm!
\N[1]の防御力を上げようとした！,Đã cố tăng sức phòng thủ của \N[1]!
\N[1]の防御力を下げようとした！,Đã cố giảm sức phòng thủ của \N[1]!
\N[1]はセラに拘束して欲しいと,\N[1] đã yêu cầu Sera trói mình lại
\N[1]はセラを拘束してしまった！,\N[1] đã trói Sera lại mất rồi!
\N[1]はセラを振り払った！,\N[1] đã gạt Sera ra!
\N[1]は上半身に注意して,\N[1] chú ý đến nửa thân trên
\N[1]は下半身に注意して,\N[1] chú ý đến nửa thân dưới
\N[1]は口に警戒して,\N[1] cảnh giác với miệng
\N[1]は口を使った攻撃に反撃した！,\N[1] đã phản công lại đòn tấn công bằng miệng!
\N[1]は手に警戒して,\N[1] cảnh giác với tay
\N[1]は手を使った攻撃に反撃した！,\N[1] đã phản công lại đòn tấn công bằng tay!
\N[1]は気持ちを切り替えた！,\N[1] đã chấn chỉnh lại tinh thần!
\N[1]は股に警戒して,\N[1] cảnh giác với hạ bộ
\N[1]は股を使った攻撃に反撃した！,\N[1] đã phản công lại đòn tấn công vào hạ bộ!
\N[1]は胸に警戒して,\N[1] cảnh giác với ngực
